proj,distancia,feature,silhoette
pca,euclidean,featureFos,0.18956052688912575
pca,euclidean,featureLpq,0.2811631833649363
pca,euclidean,featureGlcm,0.37420899424159576
pca,manhattan,featureFos,0.21225378254769803
pca,manhattan,featureLpq,0.2867198716602936
pca,manhattan,featureGlcm,0.4063404659695264
pca,cosine,featureFos,0.2636744092506532
pca,cosine,featureLpq,0.23839590259186746
pca,cosine,featureGlcm,0.4357304407408421
mds,euclidean,featureFos,0.25134548530966183
mds,euclidean,featureLpq,0.22582666621727643
mds,euclidean,featureGlcm,0.3297003100607324
mds,manhattan,featureFos,0.25668539031463605
mds,manhattan,featureLpq,0.23584828409574884
mds,manhattan,featureGlcm,0.35114521203965765
mds,cosine,featureFos,0.2672261546097085
mds,cosine,featureLpq,0.20818001377897632
mds,cosine,featureGlcm,0.39361572738668776
tsne,euclidean,featureFos,-0.0033600608886349133
tsne,euclidean,featureLpq,0.19164806376519306
tsne,euclidean,featureGlcm,0.10488199958310593
tsne,manhattan,featureFos,0.02188879468821626
tsne,manhattan,featureLpq,0.178886077720271
tsne,manhattan,featureGlcm,0.07375626085929415
tsne,cosine,featureFos,0.002743179586922859
tsne,cosine,featureLpq,0.15900168805818718
tsne,cosine,featureGlcm,0.237444482468787
